Company,Brief Description,Protein Category,Company Focus,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Region,State,City,Website,Year Founded,Founders,Logo
CreateFoods Canada Inc.,Canadian contract manufacturer in the plant protein isolate. Able to offer multiple raw material sources and finished goods to your specification. ,Plant-based,Contract manufacturing/processing,Ingredient optimization,,,,U.S. and Canada,Canada,,Edmonton,www.createfoodscanada.ca,2020,"Darren Kostiw, Tom Chan, Randy Book and Nisarg Patel",CreateFoods Canada - Final logo v2.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/SXjOPdRorUO6xsboyy89Vg/5n1DByV3T23560OvjBpeySFW13bqa38pNmsLfM6F4hUEAftSAWDKGKvLN00XjX_rH-GBPkCGS4knUxRM2YQhhvYSmDbVvw37t0EFR6--ejaCU3b-l0nRMStAro-WSliQ/zGpMl5TXBEBxHLe-xSH2yyw1iB3FxIwA3466L9yF6xA)
MOA Foodtech,"Spanish company that produces a high-value protein by transforming food waste and by-products, through a fermentation process optimized by AI",Biomass fermentation,"Ingredients and inputs,Dairy,Eggs,Meat","Bioprocess design,Ingredient optimization","Milk,Cheese,Whole muscle meat,Eggs,Pet food",,Yeast,Europe,Spain,,Madrid,https://www.moafoodtech.com/,2020,"Bosco Emparanza, Susana Sánchez, José María Elorza",logo MOA.JPG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/cj1DlZ_J9PWU2CwbD1c8Ag/QyxZ5FDDhKhNNZirp8YmGgUaDr1q2ZEtLRZzVAjC_3yi1kjZ8OhhPwZ1mZ0K9oytmuHnR54PvCfno_RWHxBxsZ4zegRrIKeJCVIj01l7yMw/coyMvv4OkfsLRGdPc-5RqGapJZR-7ciQgipS5GvlAws)
Cocuus System Iberica S.L.,Leading the scalable production of  alt-protein,Plant-based,"Food processing infrastructure and equipment,Bioprocessing infrastructure and equipment","Scaffolding and structure,End product formulation and manufacturing",,,,,Spain,,Cizur Menor,www.cocuus.com,2017,Francisco Javier Larumbe Beramendi and Daniel Rico Aldaz,Logo COCUUS horizontal color.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/mqO5aGoOpwklZ1D1XPrECg/W3E6fyZkAM7tkw_YQ4MsjNxEOHnC-oxH7HAOHv_qrave_CY4PAVsbu6w_3MhGfz6kgFBnrWAzXnGragL0Rdg4psLRJ1s_ilbFOxkVdDVdYeM4qFeRDFSjxzpgwrcMtsM/oOsM-_w7kA-X5TJRSKu11UVJN6Wtaa7wxxdf-5u42Xg)
Algenuity,UK-based company that provides microalgae-based solutions for use in the plant-based food sector. ,"Plant-based,Biomass fermentation",Ingredients and inputs,"Ingredient optimization,Bioprocess design",Ingredients,,Algae,Europe,United Kingdom,,Bedfordshire,https://www.algenuity.com/,2009,"Andrew Spicer, Timothy Alavosus",alg.webp (https://v5.airtableusercontent.com/v1/14/14/1674252000000/2yp7q9AtVDu8R93kJVzeJA/yee3_0GJijsHahVYjonr2hUP1hPeMS7KfNo--eaVtcXGcAVqhA79bsTBjbhcoBD-6pLB8Z45xT3AP-7PNaKjFg/W07RwP0Se1uvoS8K8pt392Cgl6AvR0YF7tYdGXKdwBY)
Nobell Foods ,U.S.-based company developing plant-based affordable substitutes to animal products. ,"Plant-based,Plant molecular farming","Meat,Ingredients and inputs",,,,,,United States,California,San Francisco,https://www.nobellfoods.com/,2016,,c462a925-a6dc-4b74-906b-6ec3e00a2e55.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/tfbtqj_KbXbgbG5Bxf0c_Q/-e-8nXLo1Po-m2t1j5CQsfEyVdnk99jxle-JApaLOg_hBXFBpSKk5urIsc0CSlJghoxQdykjsk7ApQbDqDnNT8Q5DbtiFtCeC_4Aq-19mkGP_oErG4djyFBIdsr0ZtuU/Ze67WxarbrbbaIOL624MuK4BIb7k5SIyTRmtUk4rAic)
Tiamat Sciences,Company developing a plant molecular farming technology to manufacture affordable growth factors and other proteins for cell-based meats,Plant molecular farming,Ingredients and inputs,,,,,,United States,North Carolina,Durham,https://www.tiamat-sciences.com/,2019,France-Emmanuelle Adil,tia.jpeg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/o0hmrFrydpn2RBX84eSdQg/IDJv5nPAu2afHiyB95bFMn-AY2_vkI-fnGPdjtuBk9Hg7QyxkFqwqn16eLPgk4VUwX6mKqDW0IcUQMVWfgh12w/1q73VvNADqwaHNxjeWQxhqacT7lSxEy1OPeb2-gk_es)
Sugarlogix (previously known as Zimitech),US-based company developing yeast-based technologies to produce functional sugars found naturally only in human breast milk. ,Precision fermentation,Ingredients and inputs,,,,,,United States,CA,Alameda,https://www.sugarlogix.com/,2016,Chaeyoung Shin,sugar.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/g7apw3AZs3gjCALw0eijQQ/K3mTeLVlMyUr4TM2z-FAWGUilY2Syq82_HJaVDqnjmHN0sFdfAAO342sX3klwz26kAIL3rtyxAfv1KcX4Z8KKwBdaAIjzI15th1luge8uGI/YSxADca_HMrNlBw9vu0bA-DY_nL8CvU_0c0Fg_ve2VA)
Molecular Devices,"Company providing bioanalytical solutions for protein and cell biology in life science research, pharmaceutical and biotherapeutic development.","Cultivated,Fermentation-derived","Bioprocessing infrastructure and equipment,Other","Crop development,Cell line development,Host strain development",,,,,United States,California,San Jose,https://www.moleculardevices.com/,1990,,moldev-logo.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/hrKh1bA8O1YFdugILU34IQ/aMmAF3nt7iXPZ8_PXAR_z18ymRDUWADfm8ElIkmPfhsIzQmKKJxTCpoj1FbCIlHHfkXUqT2d1HR8rEVeaZ_YZJbIUuJSHIm7-ECJSPTSuNA/8yctWSK31-JCVskETUnwwhQETUgHiAytbA6V1narMcg)
HealthyProteins BV,Dutch B2B company specialized in (organic) plant-based ingredients for infant nutrition and dairy alternatives. ,Plant-based,"Dairy,Ingredients and inputs,Contract manufacturing/processing",Ingredient optimization,Other,,"Oat,Almond,Pea,Soy,Cashew,Hazelnut,Hemp,Coconut,Macadamia,Mung Bean,Peanut,Sunflower,Quinoa,Tapioca","Europe,U.S. and Canada,Asia Pacific",Netherlands,,Schoorl,HealthyProteins BV,2020,Arnauld van Hees and Geannys Gonzalez,AA logo HealthyProteins.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/L9jT73I4NZE3UVfeWu3C3Q/FSPzT-z__FVFN9h7RIy9iIq3Ru5t0NiIzikxCpdgI5WmAz6bHYEHGJwbPn2J9fjg4ppOMIfdq38HQulV8Ph3m1Xu4Qle1BM1K8VwHykuLLNyu5SYP_6BN2Mok-V03rBy/Tj5ZS8q7hdE33FqqoDM-2wRib7usA5p0gdamJ9zh4GU)
Cambrium,Berlin-based startup that is working on engineering biology to create high-performance proteins.,Precision fermentation,"Ingredients and inputs,Contract manufacturing/processing",End product formulation and manufacturing,,,,Europe,Germany,,Berlin,https://www.cambrium.bio/,2020,"Mitchell Duffy, Charlie Cotton",gvllul8knmvbvmpxx40d.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/AWhCLRwQwZuo5zfgkENEGA/bAiO6qp9iXeVgq4Z_HYpOdYU38O1aM0VLHAwlDRqIgu6v7WlcvgNQ3jKmUKlDoMkYE-9s0z0vVGEfdXt6wkOOsFRWirJti32NY-DISGeEQw/oa-m62ald0b4GL2PBm7bj402vSc-0O7kwgoNvDFEdWA)
Montana Premier Protein,"Producer of highly functional organic, non-pea, pulse protein and starch concentrate to support our customers clean label goals.",Plant-based,Ingredients and inputs,Ingredient optimization,,,"Fava bean,Chickpea,Lentils,Mung Bean",U.S. and Canada,United States,Montana,Billings,www.mtpremierprotein.com,2019,Christian Orms,MPP_TIFF.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/EyyFbPOgmYBXaWCSY1rWFQ/0-rqouwvJnvArAW_ZMfJz63dm6TEiijld6KA5AbuYcQQurTMOAHUcbU7dEs76RVJZpeWBffiKXAxl57zp19kQFDTisZEJ5eW9geXiayqV_w/YyH2eGa2OzNAL4BSWpKQ4ZblD8rDhPyb0crJoSXB6qI)
"JV ""Vitmark-Ukraine"" LLC","Ukraine based company that produces plant-based milk, fruit smoothies, baby food, juices",Plant-based,"Other,Food processing infrastructure and equipment,Contract manufacturing/processing",End product formulation and manufacturing,,,,,Ukraine,,Odessa,https://int.vitmark.com/,1991,,Vitmark_Logo.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/mFszq8ZMqksxyTB7J-fGmQ/5PSR6V4iIophj5X5KzXdzq871D8q15c3aqp1PgMf3WQ4uXJrFemuSvzH7peWMpQF3T_JEp31t8MnNFjIhqy-VIjj7YtBE29ew2gwm06hDU4/gzOUe_SWdUAt8yBhziv8PUpEf5f8BcN9fELFHtYRuJ4)
"Sempera Organics, Inc.",Sempera Organics produces mushroom-based ingredients and proprietary blends for use in alternative protein products. ,Fermentation-derived,"Meat,Ingredients and inputs",Ingredient optimization,Other,,Mushrooms,U.S. and Canada,United States,California,Morgan Hill,http://semperaorganics.com,2020,Nirmal Nair,SO logo.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/yOzL_c7I1vAHi4XntTF13g/Lf4WM6p2Qkzhj8l6C5_5fv1Yd-evmdJEcUGesHd8NxEIClnpQHRheZWfFk_M7I-9ipxopggyrpuCF_uFyuMxR295lePYEluSLwzihXJHVU4/Pv2nNbC3U6xBzVk-yCXxzdvnhs34Yt9sqCtggm2Ag74)
Mycovation,Singapore based mycoprotein technology company. ,Biomass fermentation,"Meat,Dairy,Ingredients and inputs","End product formulation and manufacturing,Ingredient optimization,Scaffolding and structure","Cheese,Ground meat,Other meat,Other","Chicken,Beef/veal,Pork","Fungi,Mushrooms",Asia Pacific,Singapore,,Singapore,https://www.mycovation.asia/,2020,"Shiva Susarla, Dr.Yashaswini Balaraju, Dr.Yong Xing Tan, Pramod Shaandilya",WhatsApp Image 2020-08-17 at 12.19.28 PM.jpeg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/N-zcSQNf6b7v5tYMHH34ug/PrbWRzZb9PV5dGMbjE57YB63rYuluXf2_UDyna5EfXhFlaGWDrBK8R9hTMM70rY8v3vUyhVrxBfxDEuCOjVIxGUzkVNaUZwzSsg6-y48SqkB4ztoNzmROwr9gwxjrJe2/jVK1k--ZHhf-Nzh3AsT2n8EYkpKxSov41tC_oAY6y-s)
CP Kelco,"Ingredient solutions company working with food, beverage and consumer products manufacturers worldwide.","Plant-based,Cultivated,Fermentation-derived",Ingredients and inputs,"Bioprocess design,Ingredient optimization,End product formulation and manufacturing",,,Other,,United States,Georgia,Atlanta,www.cpkelco.com,1929,,CP-Kelco-RGB-Digital-Logo_2019_03_06.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/7PkaNMWNY70Fw212QnVu_A/0vut22RJbhHqBlnhHGbe0RO305mfBkgvsSoNkIC-0rsZRWCv3a8RuRsVeFeMWKR-Ujd-HKTh2CwGccMgj46YcjJFYSfOADFa98BlXDSms4cTHRkk4axTmZTycDYV1Dpo/PA7XSCp4X5Ssv8PWuyCE7FM_6krxjwtWqsH8ty2bSVU)
Proliant Biologicals,"US-based manufacturer of bovine serum albumin, media from edible plasma, and edible grade serums (sourced from New Zealand).",Cultivated,"Ingredients and inputs,Other",Cell culture media,,,"Feedstocks,Other",,United States,Iowa,Ankeny,www.proliantinc.com,2000,,Proliant Biologicals Logo.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/nqusVbSbbnJX_8Ae1UXO4Q/vNDDDpcqkvWF0woFbUx6RCcMYahlF3adAIbszYuPYNSCPBiPP_hzvtwuHd958nlu969CzdGNZV8cEgFnVyH3QbAhOhREJ8kqD_SD4BOJQEbv81AjQ3-DznoaDF_GY1WD/uoHgHHn3CDcRfpEbGCkXVm0eWzxmLUzf294w8qUWXok)
Schreiber Foods,"Schreiber Foods strives to do good through food every day. Based in North America, we’re a customer-brand leader in cream cheese, natural cheese, process cheese, shelf-stable beverages, plant based foods and yogurt.",Plant-based,"Dairy,Food processing infrastructure and equipment,Contract manufacturing/processing",End product formulation and manufacturing,"Other dairy,Cheese,Other",Other,,U.S. and Canada,United States,Wisconsin,Green Bay,https://www.schreiberfoods.com/,1946,Employee-Owned Company,Schreiber_6C_RGB.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/Hvq8SyvrxOm-eDaq_Ap7ag/-tYa-llECosvpXDT5nREwmkg8xH924FJ8klYhN5VcYxtiAQj7R3bl5U5yiMNrY9r2CI5ydy_G56dZnrOynXnbsIZV1BuA0fpojHkRfHJr1I/JAUss3sXGirQ2AG_VtyAy3YyX1qDh5UZyWTkle90XvI)
C-Merak,"Canadian-based company producing 100% faba protein, starch, flour and fibre ingredients with no additives or chemicals.",Plant-based,Ingredients and inputs,"Feedstocks,Ingredient optimization,Crop development",,,Fava bean,U.S. and Canada,Canada,,"Tisdale, Saskatchewan",www.c-merak.ca,2018,,C-Merak.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/L3-DU9zmPYDf_9nbyRV92g/GhxusH699ZHRH3zN0GTAKJ-pxg12dCPMfc45naVPbPRCCQYUAr3UPgp1aADJka8yQeQq7Rxyc-SaggzV8Bb4aOjR-CwmuTwPOF8ybkvPzHo/r4IGPtRA-Lix18_u6ghqE6GDLheVQvuc1NuRBlRhWKg)
"Kagome USA, Inc.",Specializing in plant-based sauces and buttery spreads for the food service industry. Also a co-manufacturer for plant-based retail buttery spreads.,Plant-based,Contract manufacturing/processing,,,,,U.S. and Canada,Japan,,LOS BANOS,www.kagomeusa.com,1900,Ichitaro Kanie,kagome logo.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/NWkeVPCa-PAtWbvkpZ8gIQ/q2jBtI5vZfp6R6nTVO6HfNA0YShLkK2d4w-GMZ-5oL3xFDxkCBdkUQ495W1HNN_XE7wah9rb8IwXzGptV0svq2zls5ImfFXSCkmh0U-grHA/tQ4RxL54qhYSZsbucLICMbOspPCUdQguUz_8aV7jvX8)
Gelatex Technologies," Estonia-based company that produces edible plant-based scaffolds and microcarriers for the right texture, cost-parity and scalable production of cultivated meat.",Cultivated,"Meat,Ingredients and inputs,Contract manufacturing/processing",Scaffolding and structure,,,,Europe,Estonia,,Tallinn,www.gelatex.com,2016,"Märt-Erik Martens, Mari-Ann Meigo Fonseca",Gelatex_logo_square_color_RGB.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/RqgPk-LFBwOuu3aMSMLi5w/6_TfMoqxTgl05E6zLbOe0TYUTKyztwJBkHF9R9ZySShMbvQHeRuc3LqO7cFL2dM3WCm45Z1J9pavdOf1c6hKq-2k-rQuqBvQGmWB0VJY5AFstMB-hn0mt8UekvlktOPa/DDF5Zfujj3NdItiZA15I9qFCB7TMImAa8vCPAZn2eE8)
Solid Food,"‘Solid Food’ is a quinoa specialist provider with production in Ayacucho, Peru and distribution in Europe out of Belgium.",Plant-based,"Meat,Ingredients and inputs,Contract manufacturing/processing",Ingredient optimization,Other,Beef/veal,Quinoa,"Latin America,Europe,U.S. and Canada",Belgium,,Gent,https://www.solidfood.global/,2015,Solid,Solidfood_Logo_FIN jpg.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/8RXagcCwhJTf4DHHlgq-iA/BVqS6lxpZ_CJ29VIZxP4pog1WuUg3CrskHJwCPkYTao4e6QnDKpcx-Q4bhab885EhlJhIi7ACP6EcYkJ2PZSdFkaBzctftXpUExPXv0CAkv-1PH-02dglIlSwE-nqbEf/8PnxYw-ANa1vFjWw-efC6S0LhWi35JQ_QLumk18qvVk)
ICL Food Specialties,Global food ingredients company that supplies plant-based ingredients to food and beverage companies.,Plant-based,"Meat,Dairy,Ingredients and inputs",Ingredient optimization,"Whole muscle meat,Ground meat,Other meat,Other dairy","Beef/veal,Chicken,Pork,Turkey,Fish,Shellfish,Other","Pea,Fava bean,Blend","U.S. and Canada,Latin America,Europe,Africa/Middle East,Asia Pacific",Israel,,Tel Aviv,www.iclfood.com,1974,Israel Chemicals Ltd.,icl_logo_12_rgb-01.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/CFWbdsLfs9QWHvDiTsdntA/znRdVtzKW5tkqcvrUjxLae0xAq8naDoMEv7RodVAwrv50FP_xVCyctSEdW4EVoE7f_zE29v79y7KWm3xKjwhUvZknpdPoFlF1efGYckao7Q/tVCjHvhdKtBvRV1I3axekWDf99tOdAtdZtw8VN5Y8F0)
Animal Alternative Technologies,"U.K.-based company creating a complete, scalable cultured meat manufacturing system: the Renaissance Farm®, which includes raw materials, hardware (eg. bioreactors), AI software, bioelectronics, and bioprocesses ",Cultivated,"Bioprocessing infrastructure and equipment,Meat,Ingredients and inputs,Food processing infrastructure and equipment,Other","Bioprocess design,Scaffolding and structure,End product formulation and manufacturing,Ingredient optimization",Other,,,Europe,United Kingdom,,Cambridge,https://www.animalalternativetechnologies.com/,2020,"Clarisse Beurrier, Yash Mishra",AAT + RF Logo.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/HRCeSW8Kp2L1ox6TxltUog/f_ITc0kMYilAawIEFHftjiNEeMHjd53UBE0R06OOjaq6jwF2FrrtXe_hoxdEIEqRvw88E0BCmtlkupdVAQRK5_m4dGMuqdcnxuc8g-yeUBk/UGBhafarXk1KU-EUdkuEnsvYqLP1EvirCUDGgjmv62E)
mimiX biotherapeutics,Switzerland-based biofabriation company that provides an acoustic bioprinting technology to create three-dimensional cellular constructs/cell-loaded scaffolds,Cultivated,Bioprocessing infrastructure and equipment,Scaffolding and structure,,,,,Switzerland,,Neuchâtel,https://www.mimixbio.com/,2019,"Thurner Marc, Tiziano Serra",Mimix_logo.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/LGPc3aNotHhuaelMjtUIeQ/S0T6OMUnQ1Nk53KruaThwvOPSYNEXgrsiSKV_Dx4ogVpGMzsw_SkxbdpjINBCZmIUj2Qlv7D4MjZOAyGUgvh7i1gmHHqTfY64xyg3dR8p3w/2dEAw6iKWyiLkJQJz6Pc9-4hGaelM3uhIrwWqpw06v0)
BIC Protein B.V.,European manufacturer of soy flour and soy flakes. Defatted soy and starting up textured forms for several vegetable proteins on contract base,Plant-based,"Meat,Dairy,Contract manufacturing/processing",Ingredient optimization,"Ground meat,Cheese,Other dairy,Other","Chicken,Beef/veal,Fish,Turkey",Soy,Europe,Netherlands,,'s Hertogenbosch,www.bicservices.eu,2012,Harro de Groot,logo_BIC_protein_PMS.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/kyvtZV69OlHgeEY1b_K8Ng/Qd561ncBgsBa2vXNOkaYMcU_U9e7LZml1lx94_dPC8HUme3mhz7xlJphI1scIFSlT2aoSrj82_FEj7ZY8KJpvl3W1V3O3HqkqZq0-8H0XCk/si_kWBenX8E7Y232FJaCHXkoV8VBR6Zh6M24ao_DYNI)
Unicorn Biotechnologies,U.K.-based company developing a fully automated manufacturing platform to enable cellular agriculture and cultivated meat producers to seamlessly scale products from the lab bench to supermarket shelves,Cultivated,Bioprocessing infrastructure and equipment,Bioprocess design,,,,Europe,United Kingdom,,Cambridge,https://unicornbiotechnologies.com/,2020,Adam Glen and Jack Reid,UB Fav 256 Color.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/ygZ1jdfFRWDmAcG-4_8pgA/oFJildXYLyDb37ODs7qFtf_fIz7H0NCG8Orgp1ds2b790fyUbZ7fQvelgZsX0vvhpD7W32WQ81tcdy06Jcj_R-E-IvhZ2_5QdoXiv_6v-Ns/7dodw2xzalBEhQ3jst7jICx56VAAATHA_95knPcUkbM)
Roslin Technologies Ltd,"U.K.-based AgriTech company, supplying iPS cell lines to the cultivated meat industry.",Cultivated,Ingredients and inputs,Cell line development,,,Other,Europe,United Kingdom,,Edinburgh,www.roslintech.com,2016,Glen Illing,RoslinTech Logo.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/s3pXvhaeP2u1-bXoHfMOcA/2k2VAxq8qVQ-8CkQg4gQIxudnIAfDp4YzoSiq0ZfQugRBu4Zbu3fAN-NgdrbG3Ng48d1WFkOyXE6CnYPFK0yIDoCwr7gXiFwzNzkyMIQlss/9NfyQHRBQ1UeX__I5S0EpVtvgtyE15ofrxOBMLJw61M)
Farmsow,"B2B ingredients company developing sustainable alternatives to tropical oils and animal fats, with its net-zero platform technology.",Biomass fermentation,Ingredients and inputs,Ingredient optimization,Oils and fats,,,,United States,CA,San Francisco ,https://farmsow.com/,2020,"Ankit Ratna, Nitya Amarnath",
Concepta Ingredients,Brazil-based developer of ingredients for the natural and organic food industries. ,Plant-based,Ingredients and inputs,Ingredient optimization,Ingredients,,,Latin America,Brazil,, São Paulo,https://organicbrasil.org/associados/concepta-ingredients/,2001,,
Sustainable Planet Ltd,Growing the most sustainable plant protein in the world.,Plant-based,Ingredients and inputs,Crop development,,,Duckweed,"Europe,Asia Pacific,Africa/Middle East",United Kingdom,,London,www.sustainablep.com,2021,Sven Kaufmann & Michael Mathres,Sustainable Planet square.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/e0FJnzsecck38NwMp9G0CA/Fb16dHf_wz2UKW5xVFu8wu-eBrWi3BXOugpmizpp_t8Fga9k8-WJBCMz6irzQYN0Lq0dEhxRJZGP_rw5g3AR79HhAT5SURHywuPv961brhAOJ8ZN4TQprrZDn21USbbx/Cbv34vT5nNVoM1NSF9LyS4zzfVTwWxmyhcqZcIoMUcI)
ESPACE Prozess Technologien GmbH,"Germany-based process engineering company, specializes on developing and delivering processes for production of high protein plant ingredients. ",Plant-based,Food processing infrastructure and equipment,Bioprocess design,,,,Europe,Germany,,Berlin,www.espace-prozess.de,2006,"Tatiana Ryabikova, Victor Ryabikov, ",espace_logo.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/u21RAZpV_f4ZZ6NHIner-g/HfXpahOz1HAEE5I2OwR5WUQ7CCj7OB6rU5uxO8amFwXe33du9FpWS_x7phcOOT2W8e17Paex4OG64f7OScCPxhWFj38A-8V4bxbcBPKBqho/s2_lgV97XSEjO2VUsWz2uTDiREnZ6ZWBaWR0BEh_iow)
Rival Foods,Dutch food-tech company that develops plant-based whole-cut products.,Plant-based,"Food processing infrastructure and equipment,Meat,Bioprocessing infrastructure and equipment,Seafood",End product formulation and manufacturing,Whole muscle meat,"Beef/veal,Chicken,Pork,Fish",,Europe,Netherlands,,Wageningen,www.rival-foods.com,2019,Birgit Dekkers & Ernst Breel,PMM-01_Logo_RGB.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/d__o-GPg6h7RjmU0VNhrpg/u7axCN7szjnBgZkMjOav0Z9BlT4E4UXjuUPO5SG5EpqFCrDAKF_mnbKlADf6XhJY38yRRH9WVKloUzu6fOW07z7tgaZvpWIEEtUFtFqhogc/FJWS4kY0LGNXoe83FrJLKSWzCTNmnQ9yrjcsD1FnCVA)
microTERRA,"At microTERRA, we produce a functional and nutritional ingredient for the plant-based food industry, with no color and no taste. So our customers can replicate the texture experience, with a nutritional value and without altering the taste, or presentation.
And we do this from an aquatic plant, lemna, grown in a scalable, affordable and sustainable way.",Plant-based,Ingredients and inputs,Ingredient optimization,,,Duckweed,Latin America,Mexico,,Mexico City,https://www.microterra.com/,2018,"Marissa Cuevas, Fanny Villiers, Paola Constantino",microterra-01-scaled.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/20C340fm1aCrVX0fpGtZ0g/jrThQHvQDZWQddmuVgcckFjjL10en5lCXxhEz4z0M4lXfklzQTJWI0eu28nWx1f4v1vcOtVHr_zgaQsdWvRglr1cZOivRqLTtDRd2dyHeSA/VZET7uHemsggWM7go2VF4cfVq18nWjMrKIhYdK7NLQ0)
The Leaf Protein Co.,"US and Australian based company developing plant protein ingredients from nature's most abundant source of protein, green leaves. Our leaf protein ingredients are sustainably sourced from crop by-products and regenerative plants. They are free from the major plant allergens and not genetically modified.",Plant-based,Ingredients and inputs,Ingredient optimization,Ingredients,,Other,"Australia/New Zealand,U.S. and Canada",Australia,,Melbourne,www.theleafprotein.com,2020,Fern Ho and Connor Balfany,leaf_protein #83C931 600x600.jpeg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/-LLj2lj-Y6jYGI9cPPcMkA/Aqp8w8Ny7d8gZCJz5eVuv2Ex7GuIf4_uGJQcfXq6-zy7BD1JC-Rb7IkJEPqM7YDOYHAQl2kkMGggVVJeDdDhgtULNllQLQszWKwOwM5dh_VA53o_VzUb_0j4PXaOkZAd/WQqdzUI2WxEUy8l8e2Azh3gyq-tVGSDoZ2nKrfumj88)
Hoxton Farms,U.K.-based startup makes real animal fat - without the animals - as a B2B ingredient for the meat alternatives industry.,Cultivated,"Ingredients and inputs,Meat","Bioprocess design,Scaffolding and structure,Ingredient optimization,Cell line development,Cell culture media,End product formulation and manufacturing",Oils and fats,Other,Other,Europe,United Kingdom,,London,https://hoxtonfarms.com/,2020,Max Jamilly; Ed Steele,hoxton-farms-logo-square-small (3).jpeg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/h8O6P6FLrG8phEipU8quRQ/-hhBYiBExxkWURNYGmLmBt_jGE_LdjoqQMUO2DzjSZQT1c0kWVh_P9jkPUxFUfbncaI28hUOu-f6s0c0jp2AzWZ-K-1b5ijWsl50iaXJIlKq8ncNPFxBYPHMf7x-Nnjm/4WAgBH5l1KRnaqqVK88eogrRoDVZlLHnYol-J5UI-lU)
DryGro,We produce a crop called water lentils (aka duckweed or lemna) which is a plant-based protein that is highly relevant to alternative protein markets within a number of vertices and use cases. ,Plant-based,Ingredients and inputs,"Crop development,Ingredient optimization",Ingredients,,Duckweed,Europe,United Kingdom,,London,https://www.drygro.com/,2015,Tim Kruger,DryGro_Logo_positive_RGB.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/1n5abBVQIfQ8FW4TmjubLA/NW7mVGXNQh2DuZd8l2FRhMEUT6lnOAVvi4kKsTscOvUG_R2U79vWmaj_fL6RL2ATMQF0OZp-k4Gc4LiWg1RJn6ksbP1AUUjtB1aAu1uph4w83R9qNXTEghF_s9TJJn65/esnFC5MSmEvVYOGtNnuOIyyjV-sxpcE3XrJFojHgR04)
New Protein Global,"Canadian company building a highly-sustainable soy protein facility, with an exclusive technology for producing clean-label protein, free of hexane.",Plant-based,Ingredients and inputs,Ingredient optimization,,,Soy,U.S. and Canada,Canada,,Toronto,www.newproteinglobal.com,2018,,NPG logo.svg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/t7pKhdxATer7PFtRdVMCJQ/1qM_XTYgOS9-9nHxnhZ7PO9x6p6kX3_o68oKybML1xYTc7xDKlS8g7nPJETPL9NoNh7hTPVanrBkmAZn37D0HpZWtMlXvvRdm-YDkO59Y-E/MveHL5inIPwgSXdHu4loa_MbuX6uuJO7Wmv9O9rWuy4)
Alghética,Uses microalgae as a platform to produce food and pharma ingredients via mobile photobioreactors that are designed to capture atmospheric CO2. The process is continuously optimized through AI and Machine Learning technology.,Biomass fermentation,Ingredients and inputs,Ingredient optimization,Other,,Algae,,Italy,,Verona,https://www.alghetica.com/,2021,Anthony Rosa,Alghética logo.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/Tp7niBlUzIBYBhkdlFHFZg/ZWOGomgXephAStDzYtmCDjkYipTZVHU-ZKNn1Env7b12uTG6DceKz1gAdczqdp-QZpeX52FnHRkQVhLSPYYb3sbKjUSdgMwkcSc4j3SttCI/VDeFHshhMNi3YMVnC7WCmiauKp7jKylqwJPrFNpxB2o)
